trial,iterations,learning_rate,depth,l2_leaf_reg,border_count,random_strength,bagging_temperature,weights_0,weights_1,weights_2,f1_macro
0,1600,0.13,7,14.0,208,0.0,0.47,1.2000000000000002,9.8,7.3,0.30400201428147394
1,1600,0.13,7,14.0,208,0.0,0.47,3.6,7.1,8.0,0.5006056207765536
2,1600,0.13,7,14.0,208,0.0,0.47,6.5,4.2,7.1,0.4130847400309456
3,1600,0.13,7,14.0,208,0.0,0.47,2.5000000000000004,2.6,0.30000000000000004,0.31411964726028097
4,1600,0.13,7,14.0,208,0.0,0.47,1.0,3.1,6.5,0.3705773551226617
5,1600,0.13,7,14.0,208,0.0,0.47,3.3000000000000003,1.9000000000000001,9.2,0.40620585818186045
6,1600,0.13,7,14.0,208,0.0,0.47,2.8000000000000003,2.8000000000000003,9.6,0.4052912913097635
7,1600,0.13,7,14.0,208,0.0,0.47,1.3000000000000003,7.5,0.1,0.27944869536499556
8,1600,0.13,7,14.0,208,0.0,0.47,8.6,7.0,5.6,0.4031514175165903
9,1600,0.13,7,14.0,208,0.0,0.47,9.4,5.2,1.8000000000000003,0.3175523923045751
10,1600,0.13,7,14.0,208,0.0,0.47,5.4,9.8,3.3000000000000003,0.34344426545679346
11,1600,0.13,7,14.0,208,0.0,0.47,6.1,5.2,7.8,0.4283268404349772
12,1600,0.13,7,14.0,208,0.0,0.47,6.7,6.4,8.3,0.45145309452184396
13,1600,0.13,7,14.0,208,0.0,0.47,7.6,7.3,4.3,0.42258693613265824
14,1600,0.13,7,14.0,208,0.0,0.47,4.5,6.4,8.5,0.4982880033808586
15,1600,0.13,7,14.0,208,0.0,0.47,4.0,8.6,9.8,0.49522392566413825
16,1600,0.13,7,14.0,208,0.0,0.47,4.7,6.1,5.6,0.47769821546268404
17,1600,0.13,7,14.0,208,0.0,0.47,0.1,8.2,8.9,0.30496124869326985
18,1600,0.13,7,14.0,208,0.0,0.47,4.3999999999999995,0.4,6.4,0.4109339732529084
19,1600,0.13,7,14.0,208,0.0,0.47,3.6,4.3,4.3,0.4703478245606945
20,1600,0.13,7,14.0,208,0.0,0.47,5.5,8.5,8.6,0.5013847447490635
21,1600,0.13,7,14.0,208,0.0,0.47,5.2,8.7,8.3,0.5019538534622825
22,1600,0.13,7,14.0,208,0.0,0.47,5.5,8.7,7.9,0.5023306764346871
23,1600,0.13,7,14.0,208,0.0,0.47,5.5,8.8,6.8,0.5015700582309758
24,1600,0.13,7,14.0,208,0.0,0.47,7.3,9.0,6.8,0.4701472304063526
25,1600,0.13,7,14.0,208,0.0,0.47,5.6,9.6,5.8,0.4803160413825052
26,1600,0.13,7,14.0,208,0.0,0.47,7.7,8.2,7.5,0.4531602975022246
27,1600,0.13,7,14.0,208,0.0,0.47,6.3,9.1,4.3999999999999995,0.41786215106015806
28,1600,0.13,7,14.0,208,0.0,0.47,5.1,7.9,6.0,0.5010052648188358
29,1600,0.13,7,14.0,208,0.0,0.47,7.0,9.9,7.2,0.5010038900028386
30,1600,0.13,7,14.0,208,0.0,0.47,8.0,9.1,10.0,0.4607966855638601
31,1600,0.13,7,14.0,208,0.0,0.47,5.8,8.3,8.8,0.5015541919474851
32,1600,0.13,7,14.0,208,0.0,0.47,5.8,9.1,8.0,0.5024939281663195
33,1600,0.13,7,14.0,208,0.0,0.47,4.9,9.3,7.9,0.5041020989259856
34,1600,0.13,7,14.0,208,0.0,0.47,5.0,10.0,7.9,0.5014655110346263
35,1600,0.13,7,14.0,208,0.0,0.47,4.0,9.4,7.5,0.4800963126839138
36,1600,0.13,7,14.0,208,0.0,0.47,6.5,7.9,9.3,0.46612779356629747
37,1600,0.13,7,14.0,208,0.0,0.47,3.3000000000000003,6.8,8.2,0.49543150684456005
38,1600,0.13,7,14.0,208,0.0,0.47,2.4000000000000004,7.6,9.2,0.44129214788257
39,1600,0.13,7,14.0,208,0.0,0.47,6.0,5.9,5.0,0.4340286502896693
40,1600,0.13,7,14.0,208,0.0,0.47,8.6,9.4,6.3,0.4401794468937747
41,1600,0.13,7,14.0,208,0.0,0.47,4.8,8.8,6.9,0.500450930176518
42,1600,0.13,7,14.0,208,0.0,0.47,4.1,8.8,7.8,0.4999617028672933
43,1600,0.13,7,14.0,208,0.0,0.47,5.2,9.3,8.1,0.5031388553897926
